City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Pressure,Country,Date
124,La Ronge,55.1001,-105.2842,-1.95,78,100,5.75,1020,CA,1732704019
125,Chibougamau,49.9168,-74.3659,28.02,93,100,6.91,1000,CA,1732704021
126,Udachny,66.4167,112.4,-1.59,97,53,6.78,1006,RU,1732704022
127,Barra de Santo Antônio,-9.4047,-35.5072,80.13,67,99,10.04,1015,BR,1732703699
128,Koh Pha Ngan,9.7578,100.0291,81.28,76,100,15.88,1008,TH,1732704024
129,Harstad,68.799,16.5293,33.15,95,66,8.01,1015,NO,1732703690
130,Yuzhno-Kurilsk,44.0306,145.8556,50.63,99,100,15.19,1001,RU,1732704026
131,Hamilton,39.1834,-84.5333,39.78,84,0,3.0,1018,US,1732703825
132,Broken Hill,-31.95,141.4333,76.06,31,0,9.28,1008,AU,1732704028
133,São João da Barra,-21.6403,-41.0511,75.29,75,55,9.26,1014,BR,1732704030
134,Meerhoven,51.4427,5.411,51.15,95,100,13.8,1012,NL,1732704031
135,Kalmunai,7.4167,81.8167,81.72,78,100,13.11,1001,LK,1732704033
136,Irecê,-11.3042,-41.8558,72.84,78,99,13.31,1015,BR,1732704034
137,Jerseyville,39.12,-90.3285,40.87,55,100,7.54,1014,US,1732704035
138,Nizhneangarsk,55.7833,109.55,10.74,89,100,2.13,1028,RU,1732704037
139,Cologne,50.9333,6.95,51.06,88,20,14.97,1015,DE,1732704038
140,Khandyga,62.6667,135.6,-4.85,99,100,1.7,1028,RU,1732704040
141,Kittilä,67.6647,24.8936,3.34,92,0,4.61,1017,FI,1732704041
142,Saipan,15.1355,145.701,79.65,90,73,8.99,1012,MP,1732704042
143,St. John's,47.5649,-52.7093,38.79,94,100,11.99,1014,CA,1732703753
144,Fale old settlement,-9.3852,-171.2468,83.55,70,66,9.51,1010,TK,1732704045
145,Inhambane,-23.865,35.3833,91.38,66,40,23.02,1005,MZ,1732704046
146,Kilindoni,-7.9139,39.6668,83.35,70,64,8.19,1010,TZ,1732704047
